id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1214932972727652353,1214932972727652353,2020-01-08 21:02:47 IST,2020-01-08,21:02:47,+0530,414972213,autoharvest,AutoHarvest,,"AH is supporting Battery Electric Vehicle Architectures (BEVA) in Detroit on Feb 26-27, 2020. Uniquely explore EV platforms, architectures and complex whole vehicle systems integration challenges to make profitable, mass market battery electric vehicles:  https://t.co/8V4y4NrSv1",en,[],['https://lnkd.in/dwzzqG3'],[],0,0,2,[],[],https://twitter.com/AutoHarvest/status/1214932972727652353,False,,0,,,,,,,,[],,,,
1149357465659740160,1149357465659740160,2019-07-11 22:09:08 IST,2019-07-11,22:09:08,+0530,414972213,autoharvest,AutoHarvest,,"AutoHarvest looks forward to supporting the 8th Annual Global Automotive Lightweight Materials Summit on August 20-22, 2019, in the Cobo Center, Detroit, MI, USA.  GALM Detroit is the world's leading automotive lightweighting confe… https://t.co/bUe92t8ICV  https://t.co/wnadgnQG0t",en,[],"['https://lnkd.in/e2fvwkg', 'https://lnkd.in/eF8TRZ4']",[],0,0,1,[],[],https://twitter.com/AutoHarvest/status/1149357465659740160,False,,0,,,,,,,,[],,,,
1143992361544015872,1143992361544015872,2019-06-27 02:50:07 IST,2019-06-27,02:50:07,+0530,414972213,autoharvest,AutoHarvest,,"AutoHarvest is excited to support July 2019 Battery Seminar on July 16-18 in Plymouth, MI. July 2019 #Battery #Seminar starts in 3 weeks! There's still time to save $100 with an advance registration. Event includes a full day of #L… https://t.co/LF6ciVQPGT  https://t.co/1CTC6NBxHN",en,[],"['https://lnkd.in/ei5PSuH', 'https://lnkd.in/eTRk43d']",[],0,0,1,"['battery', 'seminar', 'l']",[],https://twitter.com/AutoHarvest/status/1143992361544015872,False,,0,,,,,,,,[],,,,
1118713117092077572,1118713117092077572,2019-04-18 08:39:26 IST,2019-04-18,08:39:26,+0530,414972213,autoharvest,AutoHarvest,,"AutoHarvest is excited to support the Global Automotive Lightweight Materials Summit on April 24-25 in Munich, Germany. Now in its 8 th year, the Global Automotive Lightweight Materials Summit Europe is Europe’s leading automotive… https://t.co/F6PLJCEwwV  https://t.co/LxNCV00JBn",en,[],"['https://lnkd.in/ep9tPGt', 'https://lnkd.in/egceqQt']",[],0,0,1,[],[],https://twitter.com/AutoHarvest/status/1118713117092077572,False,,0,,,,,,,,[],,,,
1118711914954153984,1118711914954153984,2019-04-18 08:34:39 IST,2019-04-18,08:34:39,+0530,414972213,autoharvest,AutoHarvest,,AutoHarvest looks forward to supporting the 7th EcoMotion Main Event. Registration is now open for the 7th EcoMotion Main Event in the EcoMotion Week 2019! Explore the frontier of technologies in the EcoMotion Startup Exhibition of… https://t.co/pE6fkXTU7D  https://t.co/6M0THkDi6c,en,[],"['https://lnkd.in/eEzGf9y', 'https://lnkd.in/dDsPdCq']",[],0,0,1,[],[],https://twitter.com/AutoHarvest/status/1118711914954153984,False,,0,,,,,,,,[],,,,
1113823657112084481,1113823657112084481,2019-04-04 20:50:28 IST,2019-04-04,20:50:28,+0530,414972213,autoharvest,AutoHarvest,,AutoHarvest is excited to support the 7th EcoMotion Main Event in the EcoMotion Week 2019! Explore the frontier of technologies in the EcoMotion Startup Exhibition of 130 Smart Mobility Startups. While enjoying a cold beer in sunny… https://t.co/sWjTTbhURh  https://t.co/6M0THkDi6c,en,[],"['https://lnkd.in/dRndeix', 'https://lnkd.in/dDsPdCq']",[],0,0,0,[],[],https://twitter.com/AutoHarvest/status/1113823657112084481,False,,0,,,,,,,,[],,,,
1095415510471188480,1095415510471188480,2019-02-13 01:43:04 IST,2019-02-13,01:43:04,+0530,414972213,autoharvest,AutoHarvest,,"AutoHarvest looks forward to supporting the 6th Automotive Lightweight Materials Joining, Forming And Manufacturing Innovation 2019 Summit on February 19-20, 2019 - Detroit, USA. The Summit is an OEM-led initiative driven by the la… https://t.co/WryN3Zvazd  https://t.co/o124H4Ipft",en,[],"['https://lnkd.in/efbKb6R', 'https://lnkd.in/e66CFyM']",[],0,0,1,[],[],https://twitter.com/AutoHarvest/status/1095415510471188480,False,,0,,,,,,,,[],,,,
1061833137058123776,1061833137058123776,2018-11-12 09:38:42 IST,2018-11-12,09:38:42,+0530,414972213,autoharvest,AutoHarvest,, https://t.co/XbpjdCKx8J  https://t.co/E4iKtAJVop,und,[],"['https://lnkd.in/ed4xDjV', 'https://lnkd.in/eg_fCRC']",[],0,0,0,[],[],https://twitter.com/AutoHarvest/status/1061833137058123776,False,,0,,,,,,,,[],,,,
1060355787262976000,1060355787262976000,2018-11-08 07:48:14 IST,2018-11-08,07:48:14,+0530,414972213,autoharvest,AutoHarvest,, https://t.co/QaWEbDLEOk  https://t.co/MNUPKZsjkx,und,[],"['https://lnkd.in/enrVsKz', 'https://lnkd.in/eBJEnXM']",[],0,0,1,[],[],https://twitter.com/AutoHarvest/status/1060355787262976000,False,,0,,,,,,,,[],,,,
1060353577330315264,1060353577330315264,2018-11-08 07:39:27 IST,2018-11-08,07:39:27,+0530,414972213,autoharvest,AutoHarvest,, https://t.co/bU4zECZHpa  https://t.co/Fc7EtI98tT,und,[],"['https://lnkd.in/eHFxCcV', 'https://lnkd.in/eSdGksJ']",[],0,1,0,[],[],https://twitter.com/AutoHarvest/status/1060353577330315264,False,,0,,,,,,,,[],,,,
1059938130797752321,1059938130797752321,2018-11-07 04:08:37 IST,2018-11-07,04:08:37,+0530,414972213,autoharvest,AutoHarvest,,Big Think: Swedish scientists develop liquid that stores solar energy for up to 18 years.  https://t.co/2n5R1SK2yS,en,[],['https://lnkd.in/ejwCHc4'],[],0,1,0,[],[],https://twitter.com/AutoHarvest/status/1059938130797752321,False,,0,,,,,,,,[],,,,
